Ημερομηνία δημιουργίας,Αριθμός retweets,Αριθμός αγαπημένων,Συναίσθημα,Περιέχει URL,Χρήστης
2016-12-17,17,0,0,0,AdonisGeorgiadi
2016-12-17,9,0,0,1,AdonisGeorgiadi
2016-12-17,33,0,0,0,AdonisGeorgiadi
2016-12-17,25,0,0,0,AdonisGeorgiadi
2016-12-17,15,0,0,0,AdonisGeorgiadi
2016-12-17,19,38,-2,1,AdonisGeorgiadi
2016-12-17,10,0,0,1,AdonisGeorgiadi
2016-12-17,87,0,0,0,AdonisGeorgiadi
2016-12-17,31,0,0,1,AdonisGeorgiadi
2016-12-17,47,74,0,1,AdonisGeorgiadi
2016-12-17,6,0,0,1,AdonisGeorgiadi
2016-12-17,37,0,0,1,AdonisGeorgiadi
2016-12-17,6,0,1,1,AdonisGeorgiadi
2016-12-17,5,0,0,1,AdonisGeorgiadi
2016-12-17,16,16,0,1,AdonisGeorgiadi
2016-12-17,66,0,0,1,AdonisGeorgiadi
2016-12-17,6,0,2,1,AdonisGeorgiadi
2016-12-17,22,0,0,1,AdonisGeorgiadi
2016-12-17,30,0,0,1,AdonisGeorgiadi
2016-12-17,13,0,1,1,AdonisGeorgiadi
2016-12-17,24,0,0,1,AdonisGeorgiadi
2016-12-17,9,0,0,1,AdonisGeorgiadi
2016-12-17,17,33,0,1,AdonisGeorgiadi
2016-12-17,33,0,1,1,AdonisGeorgiadi
2016-12-17,8,0,0,1,AdonisGeorgiadi
2016-12-17,5,9,0,0,AdonisGeorgiadi
2016-12-17,25,0,1,1,AdonisGeorgiadi
2016-12-17,32,0,0,1,AdonisGeorgiadi
2016-12-17,39,67,0,1,AdonisGeorgiadi
2016-12-17,27,0,0,1,AdonisGeorgiadi
2016-12-17,57,70,0,1,AdonisGeorgiadi
2016-12-17,15,24,0,1,AdonisGeorgiadi
2016-12-17,80,128,0,1,AdonisGeorgiadi
2016-12-17,18,50,0,0,AdonisGeorgiadi
2016-12-17,135,0,0,0,AdonisGeorgiadi
2016-12-17,19,0,0,1,AdonisGeorgiadi
2016-12-17,210,0,2,0,AdonisGeorgiadi
2016-12-17,23,0,0,0,AdonisGeorgiadi
2016-12-16,27,58,1,1,AdonisGeorgiadi
2016-12-16,11,0,0,1,AdonisGeorgiadi
2016-12-16,116,0,9,1,AdonisGeorgiadi
2016-12-16,126,0,0,0,AdonisGeorgiadi
2016-12-16,11,0,0,1,AdonisGeorgiadi
2016-12-16,126,0,13,0,AdonisGeorgiadi
2016-12-16,63,0,0,1,AdonisGeorgiadi
2016-12-16,13,0,0,1,AdonisGeorgiadi
2016-12-16,24,0,0,1,AdonisGeorgiadi
2016-12-16,46,0,9,1,AdonisGeorgiadi
2016-12-16,20,0,0,1,AdonisGeorgiadi
2016-12-16,105,0,0,0,AdonisGeorgiadi
2016-12-16,49,0,9,0,AdonisGeorgiadi
2016-12-16,18,0,0,1,AdonisGeorgiadi
2016-12-16,108,0,0,0,AdonisGeorgiadi
2016-12-16,43,0,0,1,AdonisGeorgiadi
2016-12-16,804,0,0,0,AdonisGeorgiadi
2016-12-16,46,147,0,1,AdonisGeorgiadi
