Ημερομηνία,Tweets AdonisGeorgiadi,Retweets AdonisGeorgiadi,Αγαπημένα AdonisGeorgiadi,Συναίσθημα AdonisGeorgiadi,Tweets με URL AdonisGeorgiadi,Tweets PanosKammenos,Retweets PanosKammenos,Αγαπημένα PanosKammenos,Συναίσθημα PanosKammenos,Tweets με URL PanosKammenos,Tweets rachelmakri,Retweets rachelmakri,Αγαπημένα rachelmakri,Συναίσθημα rachelmakri,Tweets με URL rachelmakri
2014-10-15,0,0,0,0,0,4,58,12,0,3,0,0,0,0,0
2014-10-16,0,0,0,0,0,5,63,5,0,5,0,0,0,0,0
2014-10-17,0,0,0,0,0,16,282,16,3,11,0,0,0,0,0
2014-10-18,0,0,0,0,0,2,8,16,0,1,0,0,0,0,0
2014-10-19,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0
2014-10-20,0,0,0,0,0,1,24,31,65,1,0,0,0,0,0
2014-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-22,0,0,0,0,0,13,150,41,3,12,0,0,0,0,0
2014-10-23,0,0,0,0,0,2,25,21,1,1,0,0,0,0,0
2014-10-24,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0
2014-10-25,0,0,0,0,0,7,60,42,1,7,0,0,0,0,0
2014-10-26,0,0,0,0,0,16,126,52,29,2,0,0,0,0,0
2014-10-27,0,0,0,0,0,1,6,7,0,1,0,0,0,0,0
2014-10-28,0,0,0,0,0,2,25,22,0,1,0,0,0,0,0
2014-10-29,0,0,0,0,0,5,37,10,0,5,0,0,0,0,0
2014-10-30,0,0,0,0,0,8,106,60,0,6,0,0,0,0,0
2014-10-31,0,0,0,0,0,10,65,82,19,9,0,0,0,0,0
2014-11-01,0,0,0,0,0,2,19,37,69,1,0,0,0,0,0
2014-11-02,0,0,0,0,0,2,22,20,0,1,0,0,0,0,0
2014-11-03,0,0,0,0,0,10,86,31,72,5,0,0,0,0,0
2014-11-04,0,0,0,0,0,12,92,58,2,10,0,0,0,0,0
2014-11-05,0,0,0,0,0,8,62,36,3,6,0,0,0,0,0
2014-11-06,0,0,0,0,0,4,65,25,2,4,0,0,0,0,0
2014-11-07,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
2014-11-08,0,0,0,0,0,11,92,64,0,10,0,0,0,0,0
2014-11-09,0,0,0,0,0,5,41,30,1,3,0,0,0,0,0
2014-11-10,0,0,0,0,0,7,45,58,-4,1,0,0,0,0,0
2014-11-11,0,0,0,0,0,7,54,54,0,4,0,0,0,0,0
2014-11-12,0,0,0,0,0,6,90,78,0,5,0,0,0,0,0
2014-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-14,0,0,0,0,0,9,146,61,2,7,0,0,0,0,0
2014-11-15,0,0,0,0,0,3,823,14,1,3,0,0,0,0,0
2014-11-16,0,0,0,0,0,6,53,41,1,6,0,0,0,0,0
2014-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-18,0,0,0,0,0,3,44,23,0,3,0,0,0,0,0
2014-11-19,0,0,0,0,0,5,48,21,1,3,0,0,0,0,0
2014-11-20,0,0,0,0,0,15,114,91,0,8,0,0,0,0,0
2014-11-21,0,0,0,0,0,4,49,21,1,4,0,0,0,0,0
2014-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-23,0,0,0,0,0,2,15,0,0,2,0,0,0,0,0
2014-11-24,0,0,0,0,0,7,42,34,50,4,0,0,0,0,0
2014-11-25,0,0,0,0,0,8,53,25,0,5,0,0,0,0,0
2014-11-26,0,0,0,0,0,5,20,8,1,1,0,0,0,0,0
2014-11-27,0,0,0,0,0,12,133,85,-2,8,0,0,0,0,0
2014-11-28,0,0,0,0,0,5,43,63,0,3,0,0,0,0,0
2014-11-29,0,0,0,0,0,4,58,30,11,3,0,0,0,0,0
2014-11-30,0,0,0,0,0,6,54,15,30,6,0,0,0,0,0
2014-12-01,0,0,0,0,0,10,70,11,87,6,0,0,0,0,0
2014-12-02,0,0,0,0,0,7,181,19,134,6,0,0,0,0,0
2014-12-03,0,0,0,0,0,16,143,84,2,15,0,0,0,0,0
2014-12-04,0,0,0,0,0,18,140,97,33,12,0,0,0,0,0
2014-12-05,0,0,0,0,0,11,106,19,4,10,0,0,0,0,0
2014-12-06,0,0,0,0,0,6,70,31,4,5,0,0,0,0,0
2014-12-07,0,0,0,0,0,8,152,52,2,7,0,0,0,0,0
2014-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-09,0,0,0,0,0,3,52,51,1,0,0,0,0,0,0
2014-12-10,0,0,0,0,0,8,77,51,0,5,0,0,0,0,0
2014-12-11,0,0,0,0,0,27,418,146,5,19,0,0,0,0,0
2014-12-12,0,0,0,0,0,6,103,41,-1,6,0,0,0,0,0
2014-12-13,0,0,0,0,0,5,37,25,-1,5,0,0,0,0,0
2014-12-14,0,0,0,0,0,9,75,51,2,7,0,0,0,0,0
2014-12-15,0,0,0,0,0,15,239,84,131,9,0,0,0,0,0
2014-12-16,0,0,0,0,0,2,18,0,0,2,0,0,0,0,0
2014-12-17,0,0,0,0,0,8,115,23,1,4,0,0,0,0,0
2014-12-18,0,0,0,0,0,11,87,38,0,10,0,0,0,0,0
2014-12-19,0,0,0,0,0,34,615,347,7,18,0,0,0,0,0
2014-12-20,0,0,0,0,0,17,305,91,3,8,0,0,0,0,0
2014-12-21,0,0,0,0,0,8,498,104,50,3,0,0,0,0,0
2014-12-22,0,0,0,0,0,57,1276,171,42,21,0,0,0,0,0
2014-12-23,0,0,0,0,0,12,165,65,2,9,0,0,0,0,0
2014-12-24,0,0,0,0,0,13,207,150,302,9,0,0,0,0,0
2014-12-25,0,0,0,0,0,6,93,90,66,4,0,0,0,0,0
2014-12-26,0,0,0,0,0,2,81,39,0,1,0,0,0,0,0
2014-12-27,0,0,0,0,0,12,180,122,66,8,0,0,0,0,0
2014-12-28,0,0,0,0,0,10,164,127,4,4,0,0,0,0,0
2014-12-29,0,0,0,0,0,6,95,42,0,3,0,0,0,0,0
2014-12-30,0,0,0,0,0,14,241,21,0,10,0,0,0,0,0
2014-12-31,0,0,0,0,0,11,165,88,461,6,0,0,0,0,0
2015-01-01,0,0,0,0,0,11,264,92,269,2,0,0,0,0,0
2015-01-02,0,0,0,0,0,5,85,4,28,3,0,0,0,0,0
2015-01-03,0,0,0,0,0,5,101,67,69,4,0,0,0,0,0
2015-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,0,0,0,0,0,13,112,9,1,11,0,0,0,0,0
2015-01-06,0,0,0,0,0,14,143,0,1,14,0,0,0,0,0
2015-01-07,0,0,0,0,0,10,246,87,2,7,0,0,0,0,0
2015-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,0,0,0,0,0,6,177,39,1,3,0,0,0,0,0
2015-01-10,0,0,0,0,0,33,527,55,10,28,0,0,0,0,0
2015-01-11,0,0,0,0,0,18,670,92,71,14,0,0,0,0,0
2015-01-12,0,0,0,0,0,28,983,127,364,25,0,0,0,0,0
2015-01-13,0,0,0,0,0,2,269,21,0,2,0,0,0,0,0
2015-01-14,0,0,0,0,0,27,447,96,70,25,0,0,0,0,0
2015-01-15,0,0,0,0,0,16,325,126,0,12,0,0,0,0,0
2015-01-16,0,0,0,0,0,13,141,29,0,12,0,0,0,0,0
2015-01-17,0,0,0,0,0,12,261,32,347,11,0,0,0,0,0
2015-01-18,0,0,0,0,0,9,164,69,72,8,0,0,0,0,0
2015-01-19,0,0,0,0,0,5,80,0,209,4,0,0,0,0,0
2015-01-20,0,0,0,0,0,8,172,2,69,6,0,0,0,0,0
2015-01-21,0,0,0,0,0,27,580,149,2,24,0,0,0,0,0
2015-01-22,0,0,0,0,0,7,58,38,0,5,0,0,0,0,0
2015-01-23,0,0,0,0,0,22,709,185,210,18,0,0,0,0,0
2015-01-24,0,0,0,0,0,12,209,304,66,11,0,0,0,0,0
2015-01-25,0,0,0,0,0,11,298,422,137,6,0,0,0,0,0
2015-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,0,0,0,0,0,1,80,131,0,0,0,0,0,0,0
2015-01-28,0,0,0,0,0,2,100,46,0,1,0,0,0,0,0
2015-01-29,0,0,0,0,0,5,201,204,0,5,0,0,0,0,0
2015-01-30,0,0,0,0,0,3,153,158,0,3,0,0,0,0,0
2015-01-31,0,0,0,0,0,8,150,98,1,6,0,0,0,0,0
2015-02-01,0,0,0,0,0,4,117,119,69,3,0,0,0,0,0
2015-02-02,0,0,0,0,0,5,91,119,0,4,0,0,0,0,0
2015-02-03,0,0,0,0,0,6,148,53,-3,5,0,0,0,0,0
2015-02-04,0,0,0,0,0,5,174,48,-1,5,0,0,0,0,0
2015-02-05,0,0,0,0,0,3,204,270,1,2,0,0,0,0,0
2015-02-06,0,0,0,0,0,2,44,0,1,2,0,0,0,0,0
2015-02-07,0,0,0,0,0,9,202,40,0,8,0,0,0,0,0
2015-02-08,0,0,0,0,0,2,141,0,0,1,0,0,0,0,0
2015-02-09,0,0,0,0,0,5,49,52,1,1,0,0,0,0,0
2015-02-10,0,0,0,0,0,6,303,192,0,4,0,0,0,0,0
2015-02-11,0,0,0,0,0,1,33,0,0,1,0,0,0,0,0
2015-02-12,0,0,0,0,0,9,357,488,10,7,0,0,0,0,0
2015-02-13,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0
2015-02-14,0,0,0,0,0,7,196,241,2,4,0,0,0,0,0
2015-02-15,0,0,0,0,0,23,631,374,5,8,0,0,0,0,0
2015-02-16,0,0,0,0,0,9,892,826,1,5,0,0,0,0,0
2015-02-17,0,0,0,0,0,5,120,182,2,3,0,0,0,0,0
2015-02-18,0,0,0,0,0,4,2209,194,0,2,0,0,0,0,0
2015-02-19,0,0,0,0,0,13,153,0,9,13,0,0,0,0,0
2015-02-20,0,0,0,0,0,3,218,45,2,1,0,0,0,0,0
2015-02-21,0,0,0,0,0,3,65,0,1,2,0,0,0,0,0
2015-02-22,0,0,0,0,0,6,103,88,32,6,0,0,0,0,0
2015-02-23,0,0,0,0,0,8,180,244,65,2,0,0,0,0,0
2015-02-24,0,0,0,0,0,6,101,155,30,4,0,0,0,0,0
2015-02-25,0,0,0,0,0,4,78,42,0,1,0,0,0,0,0
2015-02-26,0,0,0,0,0,1,14,17,0,0,0,0,0,0,0
2015-02-27,0,0,0,0,0,14,145,149,3,5,0,0,0,0,0
2015-02-28,0,0,0,0,0,3,152,209,0,2,0,0,0,0,0
2015-03-01,0,0,0,0,0,4,28,3,1,3,0,0,0,0,0
2015-03-02,0,0,0,0,0,15,145,140,1,14,0,0,0,0,0
2015-03-03,0,0,0,0,0,3,87,90,4,1,0,0,0,0,0
2015-03-04,0,0,0,0,0,1,7,6,1,0,0,0,0,0,0
2015-03-05,0,0,0,0,0,7,37,30,0,6,0,0,0,0,0
2015-03-06,0,0,0,0,0,17,147,0,43,16,0,0,0,0,0
2015-03-07,0,0,0,0,0,5,92,140,1,5,0,0,0,0,0
2015-03-08,0,0,0,0,0,5,85,156,0,4,0,0,0,0,0
2015-03-09,0,0,0,0,0,2,29,32,29,1,0,0,0,0,0
2015-03-10,0,0,0,0,0,8,59,0,0,8,0,0,0,0,0
2015-03-11,0,0,0,0,0,2,60,60,0,2,0,0,0,0,0
2015-03-12,0,0,0,0,0,2,24,46,0,2,0,0,0,0,0
2015-03-13,0,0,0,0,0,2,16,0,0,2,0,0,0,0,0
2015-03-14,0,0,0,0,0,18,504,581,53,14,0,0,0,0,0
2015-03-15,0,0,0,0,0,5,159,111,-1,5,0,0,0,0,0
2015-03-16,0,0,0,0,0,9,133,149,0,6,0,0,0,0,0
2015-03-17,0,0,0,0,0,13,150,114,4,9,0,0,0,0,0
2015-03-18,0,0,0,0,0,8,294,276,3,3,0,0,0,0,0
2015-03-19,0,0,0,0,0,3,19,0,0,3,0,0,0,0,0
2015-03-20,0,0,0,0,0,12,114,149,1,6,0,0,0,0,0
2015-03-21,0,0,0,0,0,9,321,40,1,6,0,0,0,0,0
2015-03-22,0,0,0,0,0,1,36,68,0,0,0,0,0,0,0
