Αναγνωριστικό tweet,Κείμενο,Ημερομηνία δημιουργίας,Αριθμός retweets,Αριθμός αγαπημένων
802538863428304898,#ΝΔ #ΝέαΔημοκρατία #ΔΕΗ https://t.co/ztOSaoZeG8 https://t.co/hLXwOYeACs,2016-11-26 15:45:50,5,1
802534937702318082,#ΝΔ #ΝέαΔημοκρατία #ΔΕΗ https://t.co/WN4iJTOr6D https://t.co/kEBCkNSbbo,2016-11-26 15:30:14,5,1
802533574129881088,#ΝΔ #ΝέαΔημοκρατία https://t.co/WN4iJTOr6D https://t.co/PSBIODPkYI,2016-11-26 15:24:49,5,1
802533123464581127,#BlackFriday https://t.co/jMMx3sIm8r,2016-11-26 15:23:01,4,6
802500558695206912,"Τραπεζοκρατία. Δούλοι του χρήματος https://t.co/D9URgUb9Oh Η Τράπεζα ""Πειραιώς"" δεσμεύει τους λογαριασμούς όσων εντάχθηκαν στο Νόμο Κατσέλη",2016-11-26 13:13:37,5,3
802479489955598337,"Seguiremos adelante! Hasta siempre, Comandante! #FidelCastro #Φιντελ_Καστρο https://t.co/nmJpiIp2TA",2016-11-26 11:49:54,5,7
802476762018025473,#FidelCastro #Φιντελ_Καστρο #tsipras #syriza https://t.co/VK5gcVCFQg,2016-11-26 11:39:04,3,2
802283843621253120,#Λάρισα #hotspot #κυβέρνηση #Μόρια https://t.co/ThlDLXQbRq,2016-11-25 22:52:28,6,0
802274999419760640,#blackfriday #blackfridayshopping https://t.co/IoguVzo01y https://t.co/gpxHYkQizG,2016-11-25 22:17:20,7,3
802261094828019713,#ViolenceAgainstWomen #SayNoStopVAW #στοπ_στη_βια_κατα_των_γυναικων https://t.co/7I41H3jGRk https://t.co/PIPY0mxa05,2016-11-25 21:22:04,7,3
802260591767355392,Ραχήλ Μακρή: «Υπέγραψαν τη μη διαγραφή του #χρέους» | 24.11.2016 https://t.co/VMm4YVlLRU,2016-11-25 21:20:05,8,2
802260336481013760,"Ραχήλ Μακρή: «Η #κυβέρνηση #Σημίτη έδωσε στην #Αλβανία δάνειο 58,7 εκ. Ευρώ» | 24.11.2016 https://t.co/S2FgyLSMwe",2016-11-25 21:19:04,7,1
802260137461293056,"Ραχήλ Μακρή: Το ρεύμα είναι κοινωνικό αγαθό, τα χαράτσια στον λογ/σμό είναι παράνομα» | 24.11.2016 #ΔΕΗ https://t.co/MBNoIXPPtY",2016-11-25 21:18:16,7,9
802259988727074816,https://t.co/pzKGn8oZlw,2016-11-25 21:17:41,3,1
801908930771226624,https://t.co/sWRoGmZT7L,2016-11-24 22:02:42,3,1
801904396619673600,#ΔΕΗ #Λάρισα https://t.co/4AQoP2rXCk,2016-11-24 21:44:41,2,4
801781136032722944,Στις 16:00 η Ραχήλ Μακρή στο ραδιόφωνο του City International στους 106.1 με τον Γιώργο Αρίστογλου https://t.co/NZTr8VetwA,2016-11-24 13:34:53,2,0
801779577714577408,Κατάντια. #Λάρισα #ΔΕΗ #mnimonio https://t.co/B4880Ukb3C,2016-11-24 13:28:42,2,1
801779382788440064,#Λάρισα #ΔΕΗ #mnimonio https://t.co/ScYdsVL0n2,2016-11-24 13:27:55,2,1
