Αναγνωριστικό tweet,Κείμενο,Ημερομηνία δημιουργίας,Αριθμός retweets,Αριθμός αγαπημένων
"8,02538863428305E+017",#ΝΔ #ΝέαΔημοκρατία #ΔΕΗ https://t.co/ztOSaoZeG8 https://t.co/hLXwOYeACs,2016-11-26 15:45:50,5,1
"8,02534937702318E+017",#ΝΔ #ΝέαΔημοκρατία #ΔΕΗ https://t.co/WN4iJTOr6D https://t.co/kEBCkNSbbo,2016-11-26 15:30:14,5,1
"8,02533574129881E+017",#ΝΔ #ΝέαΔημοκρατία https://t.co/WN4iJTOr6D https://t.co/PSBIODPkYI,2016-11-26 15:24:49,5,1
"8,02533123464581E+017",#BlackFriday https://t.co/jMMx3sIm8r,2016-11-26 15:23:01,4,6
"8,02500558695207E+017","Τραπεζοκρατία. Δούλοι του χρήματος https://t.co/D9URgUb9Oh Η Τράπεζα ""Πειραιώς"" δεσμεύει τους λογαριασμούς όσων εντάχθηκαν στο Νόμο Κατσέλη",2016-11-26 13:13:37,5,3
"8,02479489955598E+017","Seguiremos adelante! Hasta siempre, Comandante! #FidelCastro #Φιντελ_Καστρο https://t.co/nmJpiIp2TA",2016-11-26 11:49:54,5,7
"8,02476762018025E+017",#FidelCastro #Φιντελ_Καστρο #tsipras #syriza https://t.co/VK5gcVCFQg,2016-11-26 11:39:04,3,2
"8,02283843621253E+017",#Λάρισα #hotspot #κυβέρνηση #Μόρια https://t.co/ThlDLXQbRq,2016-11-25 22:52:28,6,0
"8,02274999419761E+017",#blackfriday #blackfridayshopping https://t.co/IoguVzo01y https://t.co/gpxHYkQizG,2016-11-25 22:17:20,7,3
"8,0226109482802E+017",#ViolenceAgainstWomen #SayNoStopVAW #στοπ_στη_βια_κατα_των_γυναικων https://t.co/7I41H3jGRk https://t.co/PIPY0mxa05,2016-11-25 21:22:04,7,3
"8,02260591767356E+017",Ραχήλ Μακρή: «Υπέγραψαν τη μη διαγραφή του #χρέους» | 24.11.2016 https://t.co/VMm4YVlLRU,2016-11-25 21:20:05,8,2
"8,02260336481014E+017","Ραχήλ Μακρή: «Η #κυβέρνηση #Σημίτη έδωσε στην #Αλβανία δάνειο 58,7 εκ. Ευρώ» | 24.11.2016 https://t.co/S2FgyLSMwe",2016-11-25 21:19:04,7,1
"8,02260137461293E+017","Ραχήλ Μακρή: Το ρεύμα είναι κοινωνικό αγαθό, τα χαράτσια στον λογ/σμό είναι παράνομα» | 24.11.2016 #ΔΕΗ https://t.co/MBNoIXPPtY",2016-11-25 21:18:16,7,9
"8,02259988727075E+017",https://t.co/pzKGn8oZlw,2016-11-25 21:17:41,3,1
"8,01908930771227E+017",https://t.co/sWRoGmZT7L,2016-11-24 22:02:42,3,1
"8,01904396619674E+017",#ΔΕΗ #Λάρισα https://t.co/4AQoP2rXCk,2016-11-24 21:44:41,2,4
"8,01781136032723E+017",Στις 16:00 η Ραχήλ Μακρή στο ραδιόφωνο του City International στους 106.1 με τον Γιώργο Αρίστογλου https://t.co/NZTr8VetwA,2016-11-24 13:34:53,2,0
"8,01779577714578E+017",Κατάντια. #Λάρισα #ΔΕΗ #mnimonio https://t.co/B4880Ukb3C,2016-11-24 13:28:42,2,1
"8,0177938278844E+017",#Λάρισα #ΔΕΗ #mnimonio https://t.co/ScYdsVL0n2,2016-11-24 13:27:55,2,1
"8,01770638998376E+017",#ΔΕΗ https://t.co/yNQCd9ASDF,2016-11-24 12:53:11,6,8
"8,01550142503604E+017",.@TerensQuick #ΑΝΕΛ #kammenos  https://t.co/KoHDgzO5VI https://t.co/n78MR9DNKc,2016-11-23 22:17:00,6,4
"8,01499511499723E+017",#Αναθέωρηση #Συντάγματος #κυβέρνηση https://t.co/0EqjOeBBeQ,2016-11-23 18:55:49,8,2
"8,01499198998909E+017","29/01/2013
Ραχήλ Μακρή: ""Η τουρκική πολιτική διεκδικήσεων είναι οργανωμένη και έχει μακροπρόθεσμο ορίζοντα"" #Τουρκία https://t.co/vT4Ln8xjfS",2016-11-23 18:54:34,4,3
"8,01496645590467E+017",#Αναθέωρηση #Συντάγματος #κυβέρνηση #syriza #tsipras https://t.co/pbjVjYjg6a,2016-11-23 18:44:26,8,3
"8,01495752518341E+017",#ΠτΔ #Παυλόπουλος #Κυβέρνηση https://t.co/gGVF69T3W6,2016-11-23 18:40:53,5,0
"8,01439900432302E+017",#ΑΝΕΛ #kammenos #syriza #tsipras #Ερντογάν #Ράμα https://t.co/qSF9JHtVtm,2016-11-23 14:58:56,4,4
"8,01389162880451E+017",https://t.co/K2ubYIUJwv #ΑΝΕΛ #kammenos #mnimonio3 https://t.co/ZCmVp6xAzw,2016-11-23 11:37:20,8,1
"8,01168211970523E+017",https://t.co/lpS4bnaVs9 #ΤΑΙΠΕΔ #mnimonio3 #syriza #tsipras https://t.co/XAgYUYZEl2,2016-11-22 20:59:21,5,2
"8,00782621345272E+017","Ζήτω τα μνημόνια ρε. Μένουμε Ευρώπη https://t.co/PeUYFUvnbJ Ξέμεινε από ορθοπεδικά το «Χατζηκώστα», ματαιώνονται χειρουργεία",2016-11-21 19:27:09,3,6
"8,0072306870449E+017",Θα επιλυθεί στο 1000 #μνημόνιο όταν δεν θα έχει μείνει κανείς. #ΝΔ #ΝέαΔημοκρατία  #Βαρβιτσιώτης https://t.co/JvzuU96j2j,2016-11-21 15:30:30,6,1
"8,0072242852778E+017",2. Πάντως δεν συνηθίζεται οταν γινεται πόλεμος να λαμβάνουν προσκλήσεις. #ΝΔ #ΝέαΔημοκρατία #Βαρβιτσιώτης https://t.co/77T6XVc2LM,2016-11-21 15:27:58,4,1
"8,00722268745675E+017",1. Ο κατάλληλος άνθρωπος στην κατάλληλη θέση.Τις κασέτες απ'το Φαρμακονήσι να μας δείξετε να δούμε κάτι. #ΝΔ… https://t.co/BY8SsI9zuP,2016-11-21 15:27:20,6,1
"8,00721729517748E+017",https://t.co/Uj9u8QPq4A,2016-11-21 15:25:11,5,3
"8,00721580242387E+017",#συνταξιούχοι https://t.co/6xmVORav8c https://t.co/8owikMQkLi,2016-11-21 15:24:36,12,4
"8,00481591709565E+017",https://t.co/F2Pqa1QXKS,2016-11-20 23:30:58,3,0
